common_name	genome_name	species_name	genome_url	bsgenome	refseq_accession	refseq_url	chrM	liftover_from.hg38	liftover_from.mm10	liftover_to.h38	liftover_to.mm10	buffer_col
marmoset	calJac4	Callithrix jacchus	https://hgdownload.soe.ucsc.edu/goldenPath/calJac4/bigZips/calJac4.fa.gz	BSgenome.Cjacchus.UCSC.calJac4			chrM	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToCalJac4.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/liftOver/mm10ToCalJac4.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/calJac4/liftOver/calJac4ToHg38.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/calJac4/liftOver/calJac4ToMm10.over.chain.gz	
marmoset	mCalJa1.2.pat.X.plusMT	Callithrix jacchus	https://hgdownload.soe.ucsc.edu/hubs/GCF/011/100/555/GCF_011100555.1/GCF_011100555.1.fa.gz	BSgenome.Cjacchus.Custom.mCalJa1.2.pat.X.plusMT	GCF_011100555.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_011100555.1/	chrM_calJac4					
western lowland gorilla	mGorGor1.v2.1_pri	Gorilla gorilla	https://hgdownload.soe.ucsc.edu/hubs/GCA/029/281/585/GCA_029281585.3/GCA_029281585.3.fa.gz	BSgenome.Ggorilla.Custom.mGorGor1.v2.1pri		https://www.ncbi.nlm.nih.gov/assembly/GCA_029281585.3/	CM082747.1					
crab-eating macaque	macFas6.plusMT	Macaca fascicularis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/100/615/GCA_011100615.1_Macaca_fascicularis_6.0/GCA_011100615.1_Macaca_fascicularis_6.0_genomic.fna.gz	BSgenome.Mfascicularis.Custom.macFas6.plusMT		https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011100615.1/	chrM_macFas5					
crab-eating macaque	macFas5	Macaca fascicularis	https://hgdownload.soe.ucsc.edu/goldenPath/macFas5/bigZips/macFas5.fa.gz	BSgenome.Mfascicularis.Custom.macFas5			chrM					
rhesus macaque	rheMac10	Macaca mulatta	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac10/bigZips/rheMac10.fa.gz	BSgenome.Mmulatta.UCSC.rheMac10	GCA_011100615.1		chrM	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToRheMac10.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/liftOver/mm10ToRheMac10.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac10/liftOver/rheMac10ToHg38.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac10/liftOver/rheMac10ToMm10.over.chain.gz	
rhesus macaque	rheMac8	Macaca mulatta	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac8/bigZips/rheMac8.fa.gz	BSgenome.Mmulatta.UCSC.rheMac8			chrM	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToRheMac8.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/liftOver/mm10ToRheMac8.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac8/liftOver/rheMac8ToHg38.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/rheMac8/liftOver/rheMac8ToMm10.over.chain.gz	
pig-tailed macaque 	mMacNem.hap1	Macaca nemestrina	https://hgdownload.soe.ucsc.edu/hubs/GCA/043/159/975/GCA_043159975.1/GCA_043159975.1.fa.gz	BSgenome.Mnemestrina.Custom.mMacNem.hap1	GCA_043159975.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_043159975.1/	CM091553.1					
chimpanzee	mPanTro3.v2.0_pri	Pan troglodytes	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/858/775/GCF_028858775.2/GCF_028858775.2.fa.gz	BSgenome.Ptroglodytes.Custom.mPanTro3.v2.0pri	GCA_029281585.3	https://www.ncbi.nlm.nih.gov/assembly/GCF_028858775.2/	D38113.1					
pig	susScr11	Sus scrofa	https://hgdownload.soe.ucsc.edu/goldenPath/susScr11/bigZips/susScr11.fa.gz	BSgenome.Sscrofa.UCSC.susScr11			chrM	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/liftOver/hg38ToSusScr11.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/mm10/liftOver/mm10ToSusScr11.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/susScr11/liftOver/susScr11ToHg38.over.chain.gz	https://hgdownload.soe.ucsc.edu/goldenPath/susScr11/liftOver/susScr11ToMm10.over.chain.gz	
