common_name	genome_name	species_name	genome_url	bsgenome	refseq_accession	refseq_url	buffer_col
common bream 	fAbrBra2.1	Abramis brama	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/993/115/GCA_963993115.1/GCA_963993115.1.fa.gz		GCA_963993115.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963993115.1/	
rifleman 	bAcaChl1.pri	Acanthisitta chloris	https://hgdownload.soe.ucsc.edu/hubs/GCA/016/904/835/GCA_016904835.1/GCA_016904835.1.fa.gz		GCA_016904835.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_016904835.1/	
yellowfin seabream 	fAcaLat1.1	Acanthopagrus latus	https://hgdownload.soe.ucsc.edu/hubs/GCF/904/848/185/GCF_904848185.1/GCF_904848185.1.fa.gz		GCF_904848185.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_904848185.1/	
northern goshawk 	bAccGen1.1	Accipiter gentilis	https://hgdownload.soe.ucsc.edu/hubs/GCF/929/443/795/GCF_929443795.1/GCF_929443795.1.fa.gz		GCF_929443795.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_929443795.1/	
northern goshawk 	bAccGen1.2	Accipiter gentilis	https://hgdownload.soe.ucsc.edu/hubs/GCA/929/443/795/GCA_929443795.2/GCA_929443795.2.fa.gz		GCA_929443795.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_929443795.2/	
sterlet 	fAciRut3.2_maternal_haplotype	Acipenser ruthenus	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/713/425/GCF_902713425.1/GCF_902713425.1.fa.gz		GCF_902713425.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902713425.1/	
golden spiny mouse 	mAcoRus1.1	Acomys russatus	https://hgdownload.soe.ucsc.edu/hubs/GCF/903/995/435/GCF_903995435.1/GCF_903995435.1.fa.gz		GCF_903995435.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_903995435.1/	
common myna 	bAcrTri1.pri	Acridotheres tristis	https://hgdownload.soe.ucsc.edu/hubs/GCA/027/559/615/GCA_027559615.1/GCA_027559615.1.fa.gz		GCA_027559615.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_027559615.1/	
bird A.albertisi 	bAegAlb1.hap1	Aegotheles albertisi	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/906/565/GCA_039906565.1/GCA_039906565.1.fa.gz		GCA_039906565.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039906565.1/	
red-winged blackbird 	Agelaius_phoeniceus_1.1	Agelaius phoeniceus	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/745/825/GCF_020745825.1/GCF_020745825.1.fa.gz		GCF_020745825.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020745825.1/	
razorbill 	bAlcTor1_primary	Alca torda	https://hgdownload.soe.ucsc.edu/hubs/GCA/008/658/365/GCA_008658365.1/GCA_008658365.1.fa.gz		GCA_008658365.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_008658365.1/	
American alligator 	rAllMis1	Alligator mississippiensis	https://hgdownload.soe.ucsc.edu/hubs/GCF/030/867/095/GCF_030867095.1/GCF_030867095.1.fa.gz		GCF_030867095.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_030867095.1/	
American shad 	fAloSap1.pri	Alosa sapidissima	https://hgdownload.soe.ucsc.edu/hubs/GCF/018/492/685/GCF_018492685.1/GCF_018492685.1.fa.gz		GCF_018492685.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_018492685.1/	
yellow-crowned parrot 	bAmaOch1.hap1	Amazona ochrocephala	https://hgdownload.soe.ucsc.edu/hubs/GCA/039/720/435/GCA_039720435.1/GCA_039720435.1.fa.gz		GCA_039720435.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_039720435.1/	
thorny skate 	sAmbRad1.1.pri	Amblyraja radiata	https://hgdownload.soe.ucsc.edu/hubs/GCF/010/909/765/GCF_010909765.2/GCF_010909765.2.fa.gz		GCF_010909765.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_010909765.2/	
axolotl 	UKY_AmexF1_1	Ambystoma mexicanum	https://hgdownload.soe.ucsc.edu/hubs/GCF/040/938/575/GCF_040938575.1/GCF_040938575.1.fa.gz		GCF_040938575.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_040938575.1/	
bowfin 	fAmiCal2.hap1	Amia calva	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/373/705/GCF_036373705.1/GCF_036373705.1.fa.gz		GCF_036373705.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036373705.1/	
lesser sand-eel 	fAmmMar1.1	Ammodytes marinus	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/987/685/GCA_949987685.1/GCA_949987685.1.fa.gz		GCA_949987685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949987685.1/	
saltmarsh sparrow 	bAmmCau1.pri	Ammospiza caudacuta	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/887/145/GCF_027887145.1/GCF_027887145.1.fa.gz		GCF_027887145.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027887145.1/	
seaside sparrow 	bAmmMar1.pri	Ammospiza maritima maritima	https://hgdownload.soe.ucsc.edu/hubs/GCA/036/010/785/GCA_036010785.1/GCA_036010785.1.fa.gz		GCA_036010785.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_036010785.1/	
Nelson's sparrow 	bAmmNel1.pri	Ammospiza nelsoni	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/579/445/GCF_027579445.1/GCF_027579445.1.fa.gz		GCF_027579445.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027579445.1/	
climbing perch 	fAnaTes1.3	Anabas testudineus	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/324/465/GCA_900324465.3/GCA_900324465.3.fa.gz		GCA_900324465.3	https://www.ncbi.nlm.nih.gov/assembly/GCA_900324465.3/	
largescale foureyes 	fAnaAna1.pri	Anableps anableps	https://hgdownload.soe.ucsc.edu/hubs/GCA/014/839/685/GCA_014839685.1/GCA_014839685.1.fa.gz		GCA_014839685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_014839685.1/	
northern pintail 	bAnaAcu1.1	Anas acuta	https://hgdownload.soe.ucsc.edu/hubs/GCF/963/932/015/GCF_963932015.1/GCF_963932015.1.fa.gz		GCF_963932015.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_963932015.1/	
mallard 	bAnaPla2.hap1.1	Anas platyrhynchos	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/188/345/GCA_964188345.1/GCA_964188345.1.fa.gz		GCA_964188345.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964188345.1/	
mallard 	ZJU1.0	Anas platyrhynchos	https://hgdownload.soe.ucsc.edu/hubs/GCF/015/476/345/GCF_015476345.1/GCF_015476345.1.fa.gz		GCF_015476345.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_015476345.1/	
European eel 	fAngAng1.pri	Anguilla anguilla	https://hgdownload.soe.ucsc.edu/hubs/GCF/013/347/855/GCF_013347855.1/GCF_013347855.1.fa.gz		GCF_013347855.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_013347855.1/	
San Diegan legless lizard 	rAnnSte1.0.hap1	Anniella stebbinsi	https://hgdownload.soe.ucsc.edu/hubs/GCA/029/215/775/GCA_029215775.1/GCA_029215775.1.fa.gz		GCA_029215775.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_029215775.1/	
Brown anole 	rAnoSag1.mat	Anolis sagrei	https://hgdownload.soe.ucsc.edu/hubs/GCF/037/176/765/GCF_037176765.1/GCF_037176765.1.fa.gz		GCF_037176765.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_037176765.1/	
Domestic goose 	bAnsAns1.hap1.1	Anser anser	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/211/835/GCA_964211835.1/GCA_964211835.1.fa.gz		GCA_964211835.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964211835.1/	
pink-footed goose 	bAnsBra1.1	Anser brachyrhynchus	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/034/855/GCA_964034855.1/GCA_964034855.1.fa.gz		GCA_964034855.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964034855.1/	
warty frogfish 	fAntMac1.pri	Antennarius maculatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/013/358/685/GCA_013358685.1/GCA_013358685.1.fa.gz		GCA_013358685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_013358685.1/	
pallid bat 	DD_ASM_mAP_20210503	Antrozous pallidus	https://hgdownload.soe.ucsc.edu/hubs/GCA/027/563/665/GCA_027563665.1/GCA_027563665.1.fa.gz		GCA_027563665.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_027563665.1/	
tunicate A.turbinatum 	kaAplTurb1.1	Aplidium turbinatum	https://hgdownload.soe.ucsc.edu/hubs/GCA/918/807/975/GCA_918807975.1/GCA_918807975.1.fa.gz		GCA_918807975.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_918807975.1/	
peladilla 	fAplTae1.pri	Aplochiton taeniatus	https://hgdownload.soe.ucsc.edu/hubs/GCA/017/639/675/GCA_017639675.1/GCA_017639675.1.fa.gz		GCA_017639675.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_017639675.1/	
European woodmouse 	mApoSyl1.1	Apodemus sylvaticus	https://hgdownload.soe.ucsc.edu/hubs/GCF/947/179/515/GCF_947179515.1/GCF_947179515.1.fa.gz		GCF_947179515.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_947179515.1/	
North Island brown kiwi 	bAptMan1.hap1	Apteryx mantelli	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/417/845/GCF_036417845.1/GCF_036417845.1.fa.gz		GCF_036417845.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036417845.1/	
common swift 	bApuApu2.pri.cur	Apus apus	https://hgdownload.soe.ucsc.edu/hubs/GCF/020/740/795/GCF_020740795.1/GCF_020740795.1.fa.gz		GCF_020740795.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_020740795.1/	
golden eagle 	bAquChr1.4	Aquila chrysaetos chrysaetos	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/496/995/GCF_900496995.4/GCF_900496995.4.fa.gz		GCF_900496995.4	https://www.ncbi.nlm.nih.gov/assembly/GCF_900496995.4/	
blue-and-yellow macaw 	bAraAra1.hap1	Ara ararauna	https://hgdownload.soe.ucsc.edu/hubs/GCA/028/858/755/GCA_028858755.1/GCA_028858755.1.fa.gz		GCA_028858755.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_028858755.1/	
flier cichlid 	fArcCen1	Archocentrus centrarchus	https://hgdownload.soe.ucsc.edu/hubs/GCF/007/364/275/GCF_007364275.1/GCF_007364275.1.fa.gz		GCF_007364275.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_007364275.1/	
greater argentine 	fArgSil1.1	Argentina silus	https://hgdownload.soe.ucsc.edu/hubs/GCA/951/799/395/GCA_951799395.1/GCA_951799395.1.fa.gz		GCA_951799395.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_951799395.1/	
brown argus butterfly 	ilAriAges1.1	Aricia agestis	https://hgdownload.soe.ucsc.edu/hubs/GCF/905/147/365/GCF_905147365.1/GCF_905147365.1.fa.gz		GCF_905147365.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_905147365.1/	
great fruit-eating bat 	mArtInt1.hap1	Artibeus intermedius	https://hgdownload.soe.ucsc.edu/hubs/GCA/038/363/145/GCA_038363145.1/GCA_038363145.1.fa.gz		GCA_038363145.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_038363145.1/	
great fruit-eating bat 	mArtLit.hap1	Artibeus lituratus	https://hgdownload.soe.ucsc.edu/hubs/GCA/038/363/095/GCA_038363095.2/GCA_038363095.2.fa.gz		GCA_038363095.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_038363095.2/	
African grass rat 	mArvNil1.pat.X	Arvicanthis niloticus	https://hgdownload.soe.ucsc.edu/hubs/GCA/011/762/505/GCA_011762505.2/GCA_011762505.2.fa.gz		GCA_011762505.2	https://www.ncbi.nlm.nih.gov/assembly/GCA_011762505.2/	
Eurasian water vole 	mArvAmp1.2	Arvicola amphibius	https://hgdownload.soe.ucsc.edu/hubs/GCF/903/992/535/GCF_903992535.2/GCF_903992535.2.fa.gz		GCF_903992535.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_903992535.2/	
tailed frog 	aAscTru1.hap1	Ascaphus truei	https://hgdownload.soe.ucsc.edu/hubs/GCA/040/206/685/GCA_040206685.1/GCA_040206685.1.fa.gz		GCA_040206685.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_040206685.1/	
pink sea squirt 	kaAscMent1.1	Ascidia mentula	https://hgdownload.soe.ucsc.edu/hubs/GCA/947/561/715/GCA_947561715.1/GCA_947561715.1.fa.gz		GCA_947561715.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_947561715.1/	
tunicate A.aspersa 	kaAscAspe10.1	Ascidiella aspersa	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/924/565/GCA_963924565.1/GCA_963924565.1.fa.gz		GCA_963924565.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963924565.1/	
San Diegan tiger whiptail 	rAspTig1.0.p	Aspidoscelis tigris stejnegeri	https://hgdownload.soe.ucsc.edu/hubs/GCA/023/333/525/GCA_023333525.1/GCA_023333525.1.fa.gz		GCA_023333525.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_023333525.1/	
eastern happy 	fAstCal1.3	Astatotilapia calliptera	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/246/225/GCA_900246225.5/GCA_900246225.5.fa.gz		GCA_900246225.5	https://www.ncbi.nlm.nih.gov/assembly/GCA_900246225.5/	
European starfish 	eAstRub1.3	Asterias rubens	https://hgdownload.soe.ucsc.edu/hubs/GCF/902/459/465/GCF_902459465.1/GCF_902459465.1.fa.gz		GCF_902459465.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_902459465.1/	
common pochard 	bAytFer1.hap1.1	Aythya ferina	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/211/825/GCA_964211825.1/GCA_964211825.1.fa.gz		GCA_964211825.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964211825.1/	
tufted duck 	bAytFul2.pri	Aythya fuligula	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/819/795/GCF_009819795.1/GCF_009819795.1.fa.gz		GCF_009819795.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_009819795.1/	
minke whale 	mBalAcu1.1	Balaenoptera acutorostrata	https://hgdownload.soe.ucsc.edu/hubs/GCF/949/987/535/GCF_949987535.1/GCF_949987535.1.fa.gz		GCF_949987535.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_949987535.1/	
blue whale 	mBalMus1.pri.v3	Balaenoptera musculus	https://hgdownload.soe.ucsc.edu/hubs/GCF/009/873/245/GCF_009873245.2/GCF_009873245.2.fa.gz		GCF_009873245.2	https://www.ncbi.nlm.nih.gov/assembly/GCF_009873245.2/	
Rice's whale 	mBalRic1.hap2	Balaenoptera ricei	https://hgdownload.soe.ucsc.edu/hubs/GCF/028/023/285/GCF_028023285.1/GCF_028023285.1.fa.gz		GCF_028023285.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_028023285.1/	
East African grey crowned-crane 	bBalReg1.pri	Balearica regulorum gibbericeps	https://hgdownload.soe.ucsc.edu/hubs/GCA/011/004/875/GCA_011004875.1/GCA_011004875.1.fa.gz		GCA_011004875.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_011004875.1/	
stone loach 	fBarBar1.1	Barbatula barbatula	https://hgdownload.soe.ucsc.edu/hubs/GCA/947/034/865/GCA_947034865.1/GCA_947034865.1.fa.gz		GCA_947034865.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_947034865.1/	
barbel 	fBarBab1.1	Barbus barbus	https://hgdownload.soe.ucsc.edu/hubs/GCA/936/440/315/GCA_936440315.1/GCA_936440315.1.fa.gz		GCA_936440315.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_936440315.1/	
Siamese fighting fish 	fBetSpl5.4	Betta splendens	https://hgdownload.soe.ucsc.edu/hubs/GCF/900/634/795/GCF_900634795.4/GCF_900634795.4.fa.gz		GCF_900634795.4	https://www.ncbi.nlm.nih.gov/assembly/GCF_900634795.4/	
butterfly blenny 	fBleOce1.1	Blennius ocellaris	https://hgdownload.soe.ucsc.edu/hubs/GCA/963/422/515/GCA_963422515.1/GCA_963422515.1.fa.gz		GCA_963422515.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_963422515.1/	
fire-bellied toad 	aBomBom1.pri	Bombina bombina	https://hgdownload.soe.ucsc.edu/hubs/GCF/027/579/735/GCF_027579735.1/GCF_027579735.1.fa.gz		GCF_027579735.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_027579735.1/	
yellow-bellied toad 	aBomVar4.maternal.1	Bombina variegata	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/205/295/GCA_964205295.1/GCA_964205295.1.fa.gz		GCA_964205295.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964205295.1/	
large-eye snaggletooth 	fBorAnt1.1	Borostomias antarcticus	https://hgdownload.soe.ucsc.edu/hubs/GCA/949/987/555/GCA_949987555.1/GCA_949987555.1.fa.gz		GCA_949987555.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_949987555.1/	
hybrid cattle 	UOA_Brahman_1	Bos indicus x Bos taurus	https://hgdownload.soe.ucsc.edu/hubs/GCF/003/369/695/GCF_003369695.1/GCF_003369695.1.fa.gz		GCF_003369695.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_003369695.1/	
lizards B.pumilum 	BraPum1.0	Bradypodion pumilum	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/047/305/GCA_035047305.1/GCA_035047305.1.fa.gz		GCA_035047305.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035047305.1/	
Southern dwarf chameleon 	BraVen1.1	Bradypodion ventrale	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/047/345/GCA_035047345.1/GCA_035047345.1.fa.gz		GCA_035047345.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035047345.1/	
lancelets B.floridae x B.belcheri 	Bb.hap	Branchiostoma floridae x Branchiostoma belcheri	https://hgdownload.soe.ucsc.edu/hubs/GCA/019/207/075/GCA_019207075.1/GCA_019207075.1.fa.gz		GCA_019207075.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_019207075.1/	
lancelets B.floridae x B.japonicum 	bf_hap.2	Branchiostoma floridae x Branchiostoma japonicum	https://hgdownload.soe.ucsc.edu/hubs/GCA/015/852/565/GCA_015852565.1/GCA_015852565.1.fa.gz		GCA_015852565.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_015852565.1/	
amphioxus 	klBraLanc5.hap2	Branchiostoma lanceolatum	https://hgdownload.soe.ucsc.edu/hubs/GCA/035/083/965/GCA_035083965.1/GCA_035083965.1.fa.gz		GCA_035083965.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_035083965.1/	
common goldeneye 	bBucCla1.1	Bucephala clangula	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/059/595/GCA_964059595.1/GCA_964059595.1.fa.gz		GCA_964059595.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964059595.1/	
Abyssinian ground-hornbill 	bBucAby1.pri	Bucorvus abyssinicus	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/769/605/GCA_009769605.1/GCA_009769605.1.fa.gz		GCA_009769605.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_009769605.1/	
common toad 	aBufBuf1.1	Bufo bufo	https://hgdownload.soe.ucsc.edu/hubs/GCF/905/171/765/GCF_905171765.1/GCF_905171765.1.fa.gz		GCF_905171765.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_905171765.1/	
common buzzard 	bButBut1.hap1.1	Buteo buteo	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/188/355/GCA_964188355.1/GCA_964188355.1.fa.gz		GCA_964188355.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964188355.1/	
white-tufted-ear marmoset 	mCalJa1.2.pat.X	Callithrix jacchus	https://hgdownload.soe.ucsc.edu/hubs/GCF/011/100/555/GCF_011100555.1/GCF_011100555.1.fa.gz		GCF_011100555.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_011100555.1/	1
Nicobar pigeon 	bCalNic1.hap1	Caloenas nicobarica	https://hgdownload.soe.ucsc.edu/hubs/GCF/036/013/445/GCF_036013445.1/GCF_036013445.1.fa.gz		GCF_036013445.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_036013445.1/	
Cory's shearwater 	bCalBor7.hap1.1	Calonectris borealis	https://hgdownload.soe.ucsc.edu/hubs/GCA/964/195/595/GCA_964195595.1/GCA_964195595.1.fa.gz		GCA_964195595.1	https://www.ncbi.nlm.nih.gov/assembly/GCA_964195595.1/	
Anna's hummingbird 	bCalAnn1_v1.p	Calypte anna	https://hgdownload.soe.ucsc.edu/hubs/GCF/003/957/555/GCF_003957555.1/GCF_003957555.1.fa.gz		GCF_003957555.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_003957555.1/	
